"АЗС","Партнер","Регион","Мегарегион"
"2426","ПКФ ""Северный Ветер""",Красноярский край,Сибирь
"2427",Криолит Плюс,Красноярский край,Сибирь
"2428",КиТ,Красноярский край,Сибирь
"2429",КиТ,Красноярский край,Сибирь
"2430",КиТ,Красноярский край,Сибирь
"2431",КиТ,Красноярский край,Сибирь
"2432",ЕвроОйл (Красноярск),Красноярский край,Сибирь
"2433",ЕвроОйл (Красноярск),Красноярский край,Сибирь
"2434",Криолит Плюс,Красноярский край,Сибирь
"2901",НИАЛ,Архангельская область,Центр
"2902",НИАЛ,Архангельская область,Центр
"2903",НИАЛ,Архангельская область,Центр
"3",Учебный класс,,
"3101",Оптнефтегаз,Белгородская область,
"3201",Петрол Компани,Брянская область,Центр
"3301",Велина,Владимирская область,Центр
"3302",Велина,Владимирская область,Центр
"3303",НАРИН ПРОДУКТ,Владимирская область,Центр
"3304",Дизель,Владимирская область,Центр
"3305",Дизель,Владимирская область,Центр
"3306",Велина,Владимирская область,Центр
"3307",,,
"3308",ОвоНефтеГаз,Владимирская область,Центр
"3309",ЕВРОойл Надежда (Новосибирск),Владимирская область,Центр
"3310",ЕВРОойл Надежда (Новосибирск),Владимирская область,Центр
"3311",Велина,Владимирская область,Центр
"3312",ИП Гаврилов,Владимирская область,Центр
"3313",ИП Гаврилов,Владимирская область,Центр
"3314",ЕВРОойл Надежда (Новосибирск),Владимирская область,Центр
"33361",ГНП-сеть,Владимирская область,Центр
"3501",Авиор,Вологодская область,Центр
"3503",ЭНТИКОМ-ИНВЕСТ,Вологодская область,Центр
"351",Велина ФРА,Владимирская область,Центр
"3601",Аннанефтепродукт,Воронежская область,Центр
"3602",Аннанефтепродукт,Воронежская область,Центр
"3701",НИАЛ,Ивановская область,Центр
"3702",НИАЛ,Ивановская область,Центр
"3703",НИАЛ,Ивановская область,Центр
"3704",НИАЛ,Ивановская область,Центр
"3705",НИАЛ,Ивановская область,Центр
"3706",Нефть-Транзит-плюс,Ивановская область,Центр
"3707",Дизель,Ивановская область,Центр
"3708",Дизель,Ивановская область,Центр
"3709",Дизель,Ивановская область,Центр
"3710",Дизель,Ивановская область,Центр
"3711",ЕВРОойл Надежда (Новосибирск),Ивановская область,Центр
"3712",НИАЛ,Ивановская область,Центр
"3801",Партнер Баланс,Иркутская область,Сибирь
"3802",ШОР ОЙЛ,Иркутская область,Сибирь
"4",Учебный класс,,
"4001",ЛИК Обнинск,,
"4004",ИП Верботный,Калужская область,Центр
"4005",Трейд Ойл,Калужская область,Центр
"4006",Трейд Ойл,Калужская область,Центр
"4007",ИП Верботный,Калужская область,Центр
"4008",ИП Верботный,Калужская область,Центр
"4009",ИП Верботный,Калужская область,Центр
"4010",ИП Верботный,Калужская область,Центр
"4011",ИП Туманов,Калужская область,Центр
"4012",ИП Туманов,Калужская область,Центр
"4013",ИП Туманов,Калужская область,Центр
"4014",ИП Туманов,Калужская область,Центр
"4017",ИП Туманов,Калужская область,Центр
"4018",ИП Туманов,Калужская область,Центр
"4019",ЕВРОойл Надежда (Новосибирск),Калужская область,Центр
"4020",ЕВРОойл Надежда (Новосибирск),Калужская область,Центр
"4021",ЕВРОойл Надежда (Новосибирск),Калужская область,Центр
"4022",ЕВРОойл Надежда (Новосибирск),Калужская область,Центр
"4201",РЕДАР,Кемеровская область,Сибирь
"4202",Аспект,Кемеровская область,Сибирь
"4203",Кассава,Кемеровская область,Сибирь
"4204",Тринити,Кемеровская область,Сибирь
"4205",СВ,Кемеровская область,Сибирь
"4206",СВ,Кемеровская область,Сибирь
"4207",СВ,Кемеровская область,Сибирь
"4208",Премиум,Кемеровская область,Сибирь
"4209",ТАШОПТ,Кемеровская область,Сибирь
"4210",ТАШОПТ,Кемеровская область,Сибирь
"4211",Сибирь-Авто,Кемеровская область,Сибирь
"4214",Премиум,Кемеровская область,Сибирь
"435",Уралочка ФРА,Смоленская область,Центр
"4401",Дизель,Костромская область,Центр
"4402",Дизель,Костромская область,Центр
"4403",Дизель,Костромская область,Центр
"4404",ТК НРК,Костромская область,Центр
"4405",ТК НРК,Костромская область,Центр
"4406",ТК НРК,Костромская область,Центр
"4407",ТК НРК,Костромская область,Центр
